contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913043,0.915,ok,-0.5712907514949082,-0.2033304128582114,-0.08680011286199862,-0.005955503186260147,-0.701698229547399,-0.4730867976496028,1.0,0.6612021857923497,-0.5712907514949082
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.26070871495235654,-0.061107331089258476,0.055422968906954306,0.010742437240277347,-0.4299388029148982,-0.0682379685006403,1.0,0.6058394160583942,-0.26070871495235654
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.5225073701664561,-0.17829445264539068,-0.061764152649177895,-0.007095023348157037,-0.5923243170557222,-0.4960014931221608,1.0,0.6631578947368421,-0.5157021396425904
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.35689238217325503,-0.0653318856520202,0.05119841434419259,0.014633774057507765,-0.4983998813558769,-0.2621659298144711,1.0,0.6078431372549019,-0.35689238217325503
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.3351658936876043,-0.10225747457991319,0.014272825416299595,0.007434981469309931,-0.4654544211957361,-0.23046358887496343,1.0,0.5480225988700564,-0.3351658936876043
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.20696466578849032,0.01470804016369609,0.13123834015990887,0.009376722784820934,0.0058599512144728635,0.374865553913174,1.0,0.5722543352601156,0.20696466578849032
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727273,0.8775510204081632,ok,0.0075317595999713355,0.01625071714321802,0.1327810171394308,0.016541428083452825,-0.0872942481584505,0.14692627655128052,0.3333333333333333,0.4883720930232558,0.0075317595999713355
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.41012217817778596,-0.11747293839544959,-0.0009426383992368059,0.002171978604966096,-0.5742346612987339,-0.30370526926470826,1.0,0.6505376344086021,-0.41012217817778596
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.11873160685771217,-0.01237647907820083,0.10415382091801195,0.010489520658904072,-0.22591320961851447,-0.04104640066560784,1.0,0.5471698113207547,-0.11873160685771217
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.6859778474126582,-0.19624386318011755,-0.07971356318390477,-0.011773257947780391,-0.7467382108685543,-0.6510565916338602,1.0,0.6875,-0.6859778474126582
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913043,0.915,ok,-0.7732240792788214,-0.31410675384748865,-0.26199236350339117,-0.0373302705959524,-0.9401592106952849,-0.6354469581586859,1.0,0.7650273224043715,-0.7732240792788214
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.1776487402192949,0.025973782174452342,0.07808817251854983,0.008701869237444981,-0.028939572660853695,0.2838228699635874,0.8333333333333334,0.5693430656934306,0.1776487402192949
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.23623844686630968,-0.08682779411809793,-0.03471340377400045,-0.004168303761319048,-0.4237155231270019,-0.12351051760318543,1.0,0.6368421052631579,-0.23258765510637464
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.05111612345790381,-0.024916012205329352,0.02719837813876813,0.003910039935905663,-0.20660290472252812,0.1106046495311179,0.6666666666666666,0.5098039215686274,-0.05111612345790381
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.41915019914369556,-0.11993165022698826,-0.06781725988289078,-0.00929949648825723,-0.4864903107745576,-0.3168392753053112,1.0,0.5932203389830508,-0.41915019914369556
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.33461135759634963,0.047939555234991715,0.1000539455790892,0.0016700392039156187,0.11246194826813635,0.7307631458060163,1.0,0.6416184971098265,0.33461135759634963
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727273,0.8775510204081632,ok,0.5524636617604807,0.09664298053975218,0.14875737088384966,0.016247215995714326,0.4100024625963588,0.7022558509567007,1.0,0.6744186046511628,0.5524636617604807
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.2479785315900782,-0.08773776352418938,-0.0356233731800919,-0.0058017301004471555,-0.3569453434462805,-0.08040063694092606,1.0,0.6021505376344086,-0.2479785315900782
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.20044266486678092,0.029573264496647322,0.0816876548407448,0.002922054044755873,0.09634861830103578,0.29970112306156493,1.0,0.5566037735849056,0.20044266486678092
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.3510565739240056,-0.11069012564095981,-0.05857573529686233,-0.006217748269508938,-0.4679997896073693,-0.28142465840781067,1.0,0.65625,-0.3510565739240056
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913043,0.915,ok,0.48179960980305236,0.11633721437264488,-0.013175336317523323,-0.005981134298242319,0.3878895937232009,0.6758959714749251,1.0,0.6502732240437158,0.48179960980305236
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.9935698049221464,0.17224385232240946,0.04273130163224126,0.0011221918481116866,0.8630196409001394,1.1385187637691139,1.0,0.8467153284671532,0.9935698049221464
